Genes	description
RP24-129O14.1	NA
Immp1l	IMP1 inner mitochondrial membrane peptidase-like (S. cerevisiae)
Gm20700	NA
Baz1a	bromodomain adjacent to zinc finger domain 1A
Cand1	cullin associated and neddylation disassociated 1
Hdac7	histone deacetylase 7
Fank1	fibronectin type 3 and ankyrin repeat domains 1
AL603745.1	NA
Gm22015	NA
Hspa1b	heat shock protein 1B
Stx1a	syntaxin 1A (brain)
Gm5391	RAN binding protein 1 pseudogene
Kdm3b	KDM3B lysine (K)-specific demethylase 3B
Trmt1l	tRNA methyltransferase 1 like
Zfp386	zinc finger protein 386 (Kruppel-like)
Zfp53	zinc finger protein 53
Gm3956	vomeronasal 2, receptor 37 pseudogene
Gm20424	NA
A530058N18Rik	NA
Olfr1265	NA
Ucma	upper zone of growth plate and cartilage matrix associated
AL807795.1	NA
Leprel2	NA
Dhx40	DEAH-box helicase 40
Gm25839	NA
Dnaja3	DnaJ heat shock protein family (Hsp40) member A3
Spink10	serine peptidase inhibitor, Kazal type 10
Slc35g3	solute carrier family 35, member G3
Gm9164	glyceraldehyde-3-phosphate dehydrogenase pseudogene
U6	NA
4933431E20Rik	RIKEN cDNA 4933431E20 gene
Klrc1	killer cell lectin-like receptor subfamily C, member 1
Pcdhb5	protocadherin beta 5
Ikbke	inhibitor of kappaB kinase epsilon
Wnk3	WNK lysine deficient protein kinase 3
4930524B15Rik	RIKEN cDNA 4930524B15 gene
Phospho2	phosphatase, orphan 2
Gm15129	NA
Gm12859	predicted gene 12859
Gpr19	G protein-coupled receptor 19
Cinp	cyclin dependent kinase 2 interacting protein
Slc29a4	solute carrier family 29 (nucleoside transporters), member 4
Foxo1	forkhead box O1
Gm26658	NA
Olfr1336	NA
Vmn2r7	vomeronasal 2, receptor 7
Usp44	ubiquitin specific peptidase 44
Gm24093	NA
Gm14906	NA
Hat1	histone aminotransferase 1
Gm3336	predicted gene 3336
Pigr	polymeric immunoglobulin receptor
Gm2093	predicted gene 2093
Gm14209	NA
4930509E16Rik	RIKEN cDNA 4930509E16 gene
Sppl2c	signal peptide peptidase 2C
Gm23631	NA
Ctso	cathepsin O
Aurkb	aurora kinase B
Dck	deoxycytidine kinase
Gm14886	baculoviral IAP repeat-containing 6 pseudogene
Gm20810	predicted gene, 20810
Uba1	ubiquitin-like modifier activating enzyme 1
Gm23061	NA
Immt	inner membrane protein, mitochondrial
Cphx3	NA
Ppcdc	phosphopantothenoylcysteine decarboxylase
Gm25109	NA
Tac4	tachykinin 4
Gm6517	predicted gene 6517
Gm10226	predicted gene 10226
Snhg4	small nucleolar RNA host gene 4
Olfr62	NA
Gm5113	predicted gene 5113
Gm21777	predicted gene, 21777
Rps28	ribosomal protein S28
Vmn2r115	vomeronasal 2, receptor 115
Raxos1	retina and anterior neural fold homeobox, opposite strand 1
Gm10491	NA
4930481A15Rik	RIKEN cDNA 4930481A15 gene
Gm16171	NA
2610005L07Rik	cadherin 11 pseudogene
Psat1	phosphoserine aminotransferase 1
Taf9	TATA-box binding protein associated factor 9
Gm21865	predicted gene, 21865
RP23-433F5.6	NA
Khnyn	KH and NYN domain containing
Padi4	peptidyl arginine deiminase, type IV
Cast	calpastatin
Gm24502	predicted gene, 24502
Ncam2	neural cell adhesion molecule 2
Tsga13	testis specific gene A13
BC061194	NA
Gm16618	predicted gene, 16618
D130043K22Rik	RIKEN cDNA D130043K22 gene
Gpr97	NA
Vmn2r-ps127	vomeronasal 2, receptor, pseudogene 127
Gm23267	predicted gene, 23267
Fam20b	FAM20B, glycosaminoglycan xylosylkinase
Gm22651	NA
Atxn7l1	ataxin 7-like 1
Gm10044	ankyrin repeat domain containing protein
Klra3	killer cell lectin-like receptor, subfamily A, member 3
1700023H06Rik	RIKEN cDNA 1700023H06 gene
Gm23593	predicted gene, 23593
Rnase10	ribonuclease, RNase A family, 10 (non-active)
Rnf208	ring finger protein 208
Tmem168	transmembrane protein 168
Gm16493	NA
Gm15520	predicted gene 15520
Gm23346	predicted gene, 23346
Gm23238	predicted gene, 23238
Cap2	cyclase associated actin cytoskeleton regulatory protein 2
Gm26889	NA
Hist2h4	NA
Gm14737	NA
Polr2c	polymerase (RNA) II (DNA directed) polypeptide C
Fam134c	NA
1600025M17Rik	RIKEN cDNA 1600025M17 gene
Gnl3	guanine nucleotide binding protein nucleolar 3
Cutc	cutC copper transporter
Gm13259	predicted gene 13259
Dpep2	dipeptidase 2
Huwe1	HECT, UBA and WWE domain containing 1
Ubtd1	ubiquitin domain containing 1
Nipal3	NIPA-like domain containing 3
2600006K01Rik	RIKEN cDNA 2600006K01 gene
Pcdhb9	protocadherin beta 9
Gemin7	gem nuclear organelle associated protein 7
Trav4-2	T cell receptor alpha variable 4-2
Foxp1	forkhead box P1
Hs3st2	heparan sulfate (glucosamine) 3-O-sulfotransferase 2
Gm5229	predicted gene 5229
Spred1	sprouty protein with EVH-1 domain 1, related sequence
Jmjd6	jumonji domain containing 6
Arid4b	AT-rich interaction domain 4B
St8sia5	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5
Gm24200	predicted gene, 24200
Gm25323	predicted gene, 25323
Plxnb1	plexin B1
F830104G03Rik	RIKEN cDNA F830104G03 gene
Mut	NA
Rnf146	ring finger protein 146
Gm21114	predicted gene, 21114
Atp5f1	NA
Gm26794	NA
Fut4	fucosyltransferase 4
Gm23933	predicted gene, 23933
n-R5s215	NA
Gm13697	NA
Zcchc2	zinc finger, CCHC domain containing 2
9130024F11Rik	RIKEN cDNA 9130024F11 gene
Gm16387	predicted gene 16387
Gm24837	predicted gene, 24837
Mir184	microRNA 184
Abtb2	ankyrin repeat and BTB domain containing 2
Six1	sine oculis-related homeobox 1
Magi2	membrane associated guanylate kinase, WW and PDZ domain containing 2
Ppp1r16b	protein phosphatase 1, regulatory subunit 16B
mmu-mir-8106	NA
Ctxn2	cortexin 2
CAAA01205117.1	NA
Mir466b-1	microRNA 466b-1
D730045B01Rik	RIKEN cDNA D730045B01 gene
Mnat1	menage a trois 1
Alyref	Aly/REF export factor
Olfr1320	NA
Oxct2b	3-oxoacid CoA transferase 2B
Lamb2	laminin, beta 2
Scrib	scribbled planar cell polarity
Sec13	SEC13 homolog, nuclear pore and COPII coat complex component
Gm23053	NA
Nrsn1	neurensin 1
Gpr137b	G protein-coupled receptor 137B
Gm12175	NA
Olfr615	NA
Gm13534	nudix (nucleoside diphosphate linked moiety X)-type motif 15 pseudogene
Gm24305	predicted gene, 24305
Tctn2	tectonic family member 2
Prss8	serine protease 8 (prostasin)
Bzw2	basic leucine zipper and W2 domains 2
Vmn1r222	vomeronasal 1 receptor 222
Tubgcp5	tubulin, gamma complex component 5
Slc31a2	solute carrier family 31, member 2
Gm23415	NA
Crb3	crumbs family member 3
Elk3	ELK3, member of ETS oncogene family
Gm26274	NA
Olfr353	NA
Gm25980	NA
Gm15898	NA
Spink12	serine peptidase inhibitor, Kazal type 12
Alkbh3	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase
Gm15181	NA
Hist1h3h	NA
Vmn2r11	vomeronasal 2, receptor 11
Gm20808	predicted gene, 20808
Gm8113	predicted gene 8113
Plekha2	pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 2
Gcsam	germinal center associated, signaling and motility
Cd209g	CD209g antigen
Fam203a	NA
Kansl2-ps	KAT8 regulatory NSL complex subunit 2, pseudogene
Setd6	SET domain containing 6
Gm25589	predicted gene, 25589
Gm9969	NA
Sema4b	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B
Gm26882	NA
Tbx1	T-box 1
Gtf2h1	general transcription factor II H, polypeptide 1
Gm7421	predicted gene 7421
Ang-ps3	angiogenin, ribonuclease A family, pseudogene 3
Smco3	single-pass membrane protein with coiled-coil domains 3
Prelp	proline arginine-rich end leucine-rich repeat
Gm22183	NA
Pdzd2	PDZ domain containing 2
Gm13207	NSA2 ribosome biogenesis homolog pseudogene
Gm20861	predicted gene, 20861
6530403H02Rik	RIKEN cDNA 6530403H02 gene
Zfp712	zinc finger protein 712
Olfr164	NA
Sbf1	SET binding factor 1
Krba1	KRAB-A domain containing 1
Neurl2	neuralized E3 ubiquitin protein ligase 2
Gm22104	NA
Gm20644	NA
Hormad2	HORMA domain containing 2
Krt27	keratin 27
Polr3a	polymerase (RNA) III (DNA directed) polypeptide A
Gm12162	NA
2810407A14Rik	RIKEN cDNA 2810407A14 gene
Idua	iduronidase, alpha-L
AK157302	cDNA sequence AK157302
Chodl	chondrolectin
Gm5129	predicted gene 5129
Gm6682	tubulin, alpha 1C pseudogene
Vmn1r-ps77	vomeronasal 1 receptor, pseudogene 77
Gm24114	NA
Prss50	serine protease 50
Zfp947	zinc finger protein 947
Gm21887	NA
Eif3i	eukaryotic translation initiation factor 3, subunit I
Dennd5a	DENN domain containing 5A
Pold3	polymerase (DNA-directed), delta 3, accessory subunit
Gm24720	NA
Inpp5e	inositol polyphosphate-5-phosphatase E
Asb16	ankyrin repeat and SOCS box-containing 16
Ccdc74a	coiled-coil domain containing 74A
Ccl25	C-C motif chemokine ligand 25
Iars2	isoleucine-tRNA synthetase 2, mitochondrial
Fam196a	NA
Slc35a3	solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member 3
Prkch	protein kinase C, eta
Snx3	sorting nexin 3
Igkv4-58	immunoglobulin kappa variable 4-58
Avpi1	arginine vasopressin-induced 1
Snord100	small nucleolar RNA, C/D box 100
Otud6b	OTU domain containing 6B
Gm14605	NA
Acvrl1	activin A receptor, type II-like 1
Tmem89	transmembrane protein 89
Pex5	peroxisomal biogenesis factor 5
Car5b	carbonic anhydrase 5b, mitochondrial
Gm5142	predicted gene 5142
Mup7	major urinary protein 7
Gstm4	glutathione S-transferase, mu 4
Gm13789	NA
Gm23307	NA
Olfr853	NA
Adamts9	ADAM metallopeptidase with thrombospondin type 1 motif 9
Cbr3	carbonyl reductase 3
Psenen	presenilin enhancer gamma secretase subunit
Folr2	folate receptor beta
1700034I23Rik	NA
Gm13722	ring finger protein (C3H2C3 type) 6 pseudogene
Gm14677	tumor necrosis factor, alpha-induced protein 1 (endothelial) pseudogene
Gm2200	predicted gene 2200
Vmn1r71	vomeronasal 1 receptor 71
Hap1	huntingtin-associated protein 1
2310009B15Rik	RIKEN cDNA 2310009B15 gene
Zc3h7b	zinc finger CCCH type containing 7B
Fam63a	NA
Rbm3	RNA binding motif (RNP1, RRM) protein 3
Ctbs	chitobiase
Gm22080	NA
Stambp	STAM binding protein
Wscd1	WSC domain containing 1
Shc1	src homology 2 domain-containing transforming protein C1
Tsc2	TSC complex subunit 2
Gm3104	predicted gene 3104
Kcnn1	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1
Sypl	NA
Pxk	PX domain containing serine/threonine kinase
Cst8	cystatin 8 (cystatin-related epididymal spermatogenic)
Pcid2	PCI domain containing 2
Ankrd46	ankyrin repeat domain 46
Gm26341	predicted gene, 26341
Gm18595	coiled-coil domain containing 77 pseudogene
Gm15670	NA
Jak3	Janus kinase 3
Arpc1a	actin related protein 2/3 complex, subunit 1A
Gm13493	peptidylprolyl isomerase A (Ppia) pseudogene 2_635.1
Scn4b	sodium channel, type IV, beta
Snord32a	small nucleolar RNA, C/D box 32A
Gm5479	synaptojanin 2 binding protein pseudogene
BC030307	NA
Sec62	SEC62 homolog, preprotein translocation
Gm14648	ribosomal protein L21 pseudogene
Sirt2	sirtuin 2
Gm22932	NA
Gmcl1	germ cell-less, spermatogenesis associated 1
Olfr794	NA
Gm20622	NA
4933427E13Rik	RIKEN cDNA 4933427E13 gene
Map2k7	mitogen-activated protein kinase kinase 7
Tmem182	transmembrane protein 182
Prdm11	PR domain containing 11
Cnfn	cornifelin
Gm14263	ribosomal protein S2 pseudogene
Gimap8	GTPase, IMAP family member 8
Ppapdc2	NA
Trp73	transformation related protein 73
Hgsnat	heparan-alpha-glucosaminide N-acetyltransferase
Hmgn1	high mobility group nucleosomal binding domain 1
Hr	lysine demethylase and nuclear receptor corepressor
Gm24601	NA
Casc1	NA
Gm15338	NA
Gm25086	NA
Npc1l1	NPC1 like intracellular cholesterol transporter 1
Gm12415	predicted gene 12415
Gm14469	NA
Rln3	relaxin 3
Dtx4	deltex 4, E3 ubiquitin ligase
Ccdc121	coiled-coil domain containing 121
Crat	carnitine acetyltransferase
Grk1	G protein-coupled receptor kinase 1
Gm25278	predicted gene, 25278
Ofcc1	orofacial cleft 1 candidate 1
Gm24658	NA
Gm15104	predicted gene 15104
Gm5665	NA
Olfr1123	NA
Pnpla5	patatin-like phospholipase domain containing 5
Gm12133	ribosomal protein S2 pseudogene
Efcab4a	NA
Gm25890	predicted gene, 25890
AU040320	expressed sequence AU040320
Gm4795	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Efcab8	EF-hand calcium binding domain 8
Defa24	defensin, alpha, 24
Ubb	ubiquitin B
Gm12946	NA
Catsper4	cation channel, sperm associated 4
4930471C06Rik	RIKEN cDNA 4930471C06 gene
Bmp8b	bone morphogenetic protein 8b
AC133283.1	NA
Gm14341	NA
Polr2i	polymerase (RNA) II (DNA directed) polypeptide I
Scgb1c1	secretoglobin, family 1C, member 1
Olfr156	NA
Dhx35	DEAH-box helicase 35
Gm26460	NA
Serpina3n	serine (or cysteine) peptidase inhibitor, clade A, member 3N
2010110K18Rik	RIKEN cDNA 2010110K18 gene
Gm21344	predicted gene, 21344
Gm14074	NA
Gm13011	NA
Gm7931	predicted pseudogene 7931
Slc26a7	solute carrier family 26, member 7
Enpp6	ectonucleotide pyrophosphatase/phosphodiesterase 6
Sdhb	succinate dehydrogenase complex, subunit B, iron sulfur (Ip)
Rbm27	RNA binding motif protein 27
n-R5s84	NA
Gm24384	predicted gene, 24384
Unc5c	unc-5 netrin receptor C
Slc22a22	solute carrier family 22 (organic cation transporter), member 22
Zyx	zyxin
Ttc12	tetratricopeptide repeat domain 12
Unc79	unc-79 homolog
Cadm3	cell adhesion molecule 3
Gm10540	small ubiquitin-related modifier 2 pseudogene
Gm12394	NA
Olfr388-ps1	NA
Slc7a8	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8
Ttc27	tetratricopeptide repeat domain 27
Gm20549	NA
Gk2	glycerol kinase 2
Gm14667	DDB1 and CUL4 associated factor 13 pseudogene
Mfap4	microfibrillar-associated protein 4
Gm5174	predicted gene 5174
Gm15323	predicted gene 15323
RP23-218B17.5	NA
Gm6829	predicted pseudogene 6829
Wfdc6b	WAP four-disulfide core domain 6B
Cd59b	CD59b antigen
Kcne3	potassium voltage-gated channel, Isk-related subfamily, gene 3
Gm24694	NA
Ggt5	gamma-glutamyltransferase 5
Fez2	fasciculation and elongation protein zeta 2
Gm12190	predicted gene 12190
Hbq1a	hemoglobin, theta 1A
Samt1	spermatogenesis associated multipass transmembrane protein 1
Sh3kbp1	SH3-domain kinase binding protein 1
Gm26568	NA
Gm24210	predicted gene, 24210
Gm23540	predicted gene, 23540
Gm15464	predicted gene 15464
Gm23069	NA
Igkv4-90	immunoglobulin kappa chain variable 4-90
Samd11	sterile alpha motif domain containing 11
Gm6990	rp1 MIF pseudogene
Gm24682	NA
Trav8-1	T cell receptor alpha variable 8-1
Gm7316	predicted gene 7316
Olfr645	NA
Gm20856	Y-linked testis-specific protein 1-like
Prl3d2	prolactin family 3, subfamily d, member 1
Mex3a	mex3 RNA binding family member A
Epo	erythropoietin
Rasgef1a	RasGEF domain family, member 1A
Gm15310	developmental pluripotency associated 5 pseudogene
Gm13187	predicted gene 13187
Cwc27	CWC27 spliceosome-associated protein
Gm9364	anaphase-promoting complex subunit 15 pseudogene
Trav7-6	T cell receptor alpha variable 7-6
Gm24911	predicted gene, 24911
Gm12204	NA
Krtap13-1	keratin associated protein 13-1
Gm13828	NA
Gm12991	NA
Gm20649	NA
Olfr1428	NA
Olfr292	NA
WT1-AS_7	NA
Ubxn11	UBX domain protein 11
Gm11954	predicted gene 11954
Tango2	transport and golgi organization 2
Asf1b	anti-silencing function 1B histone chaperone
G730013B05Rik	RIKEN cDNA G730013B05 gene
Amz1	archaelysin family metallopeptidase 1
Poli	polymerase (DNA directed), iota
Ly6g6f	lymphocyte antigen 6 family member G6F
Gm16216	NA
Gm11528	predicted gene 11528
Lrrc4c	leucine rich repeat containing 4C
AC125149.4	NA
4930539J05Rik	RIKEN cDNA 4930539J05 gene
Vmn1r59	vomeronasal 1 receptor 59
Mief2	mitochondrial elongation factor 2
Gm16222	predicted gene 16222
Stk11	serine/threonine kinase 11
Utrn	utrophin
Tex16	testis expressed gene 16
Snca	synuclein, alpha
Fxr1	FMR1 autosomal homolog 1
Ncoa4	nuclear receptor coactivator 4
Gm23197	NA
Gm13433	cytochrome c oxidase subunit 7A2, mitochondrial pseudogene
ZEB2_AS1_1	NA
Tbc1d1	TBC1 domain family, member 1
Pus10	pseudouridylate synthase 10
Mir365-2	microRNA 365-2
Gm13406	ribosomal protein S7 pseudogene
Ddx21	DExD box helicase 21
mmu-mir-7688	NA
Zfp84	zinc finger protein 84
Gm15045	cell division cycle protein 20 homolog
Gm7905	predicted pseudogene 7905
Kansl2	KAT8 regulatory NSL complex subunit 2
Gm9630	predicted gene 9630
Gm14129	predicted gene 14129
Olfr1259	NA
Gm13553	predicted gene 13553
Gm15345	predicted gene 15345
Mir505	microRNA 505
Gm4845	glutathione S-transferase, mu 4 pseudogene
Mir3058	microRNA 3058
Stat4	signal transducer and activator of transcription 4
Rpl36	ribosomal protein L36
Rsrc2	arginine/serine-rich coiled-coil 2
Fosb	FBJ osteosarcoma oncogene B
Slc13a4	solute carrier family 13 (sodium/sulfate symporters), member 4
Dio2	deiodinase, iodothyronine, type II
Rnf182	ring finger protein 182
mmu-mir-7075	NA
Olfr461	NA
Rps4y2	NA
Actn1	actinin, alpha 1
Gm22352	predicted gene, 22352
Gm25349	NA
Krtap9-5	keratin associated protein 9-5
B230119M05Rik	RIKEN cDNA B230119M05 gene
Gm11827	predicted gene 11827
Noa1	nitric oxide associated 1
Fam192a	NA
Gm11813	NA
Gm13592	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Olfr951	NA
Vmn1r11	vomeronasal 1 receptor 11
Pcnxl4	NA
mmu-mir-6396	NA
Sp6	trans-acting transcription factor 6
E330034G19Rik	RIKEN cDNA E330034G19 gene
Gm24414	predicted gene, 24414
Ifna5	interferon alpha 5
Gm5528	predicted gene 5528
Selm	NA
Tgm7	transglutaminase 7
A930019D19Rik	RIKEN cDNA A930019D19 gene
Gm12368	NA
Gm24206	predicted gene, 24206
Gm3376	NA
Gm24345	predicted gene, 24345
Tatdn3	TatD DNase domain containing 3
Gm11522	NA
Gm10858	predicted gene 10858
AV064505	expressed sequence AV064505
Olfr1296-ps1	NA
Astx4d	amplified spermatogenic transcripts X encoded 4D
Gm5390	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18 pseudogene
Gm24323	NA
Gm25195	NA
Gm25991	NA
RP23-389M1.2	NA
Rraga	Ras-related GTP binding A
Madd	MAP-kinase activating death domain
Gm21447	NA
Gm23671	NA
Gm15476	zinc finger protein 707 pseudogene
Fbxo33	F-box protein 33
Tle4	transducin-like enhancer of split 4
Gm13342	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5 pseudogene
Gm23260	predicted gene, 23260
Gm17177	spermatogenesis associated glutamate (E)-rich pseudogene
Gm23434	predicted gene, 23434
Col5a1	collagen, type V, alpha 1
Cadm2	cell adhesion molecule 2
Gm4279	predicted gene 4279
Olfr344	NA
Ldoc1	regulator of NFKB signaling
Zfp651	NA
Tll2	tolloid-like 2
Cp	ceruloplasmin
Gm12056	predicted gene 12056
Gm16380	SIVA1, apoptosis-inducing factor pseudogene
Mettl13	methyltransferase 13, eEF1A lysine and N-terminal methyltransferase
Tmem165	transmembrane protein 165
Gm13520	NA
Mir3962	microRNA 3962
Rpl7l1-ps1	ribosomal protein L7-like 1, pseudogene 1
Tpm3-rs7	tropomyosin 3, related sequence 7
Spink7	serine peptidase inhibitor, Kazal type 7 (putative)
Olfr1223	NA
Gm9812	NA
Gm15235	translation machinery-associated protein 7 pseudogene
Sox5	SRY (sex determining region Y)-box 5
Olfr131	NA
Gm16584	NA
Gm24875	predicted gene, 24875
Rnf138	ring finger protein 138
DQ267101	snoRNA DQ267101
Gm8265	predicted gene 8265
Nktr	natural killer tumor recognition sequence
Sntn	sentan, cilia apical structure protein
Epb4.1l4b	NA
Rps13-ps6	ribosomal protein S13, pseudogene 6
Marcks	myristoylated alanine rich protein kinase C substrate
Gm10505	predicted gene 10505
Ascl5	achaete-scute family bHLH transcription factor 5
Shmt1	serine hydroxymethyltransferase 1 (soluble)
Gm16207	NA
Gm12833	predicted gene 12833
AC102758.1	NA
Gm26743	NA
Gm13994	NA
Gm10167	fused in sarcoma pseudogene
BC049352	NA
Fam110b	family with sequence similarity 110, member B
Gm14042	predicted gene 14042
Gm4726	predicted gene 4726
Gm1673	NA
Impdh2	inosine monophosphate dehydrogenase 2
Gm11206	NA
Bop1	block of proliferation 1
Pgm2l1	phosphoglucomutase 2-like 1
Cdkn2c	cyclin dependent kinase inhibitor 2C
Sort1	sortilin 1
Sstr3	somatostatin receptor 3
Rpl35	ribosomal protein L35
Tex21	testis expressed gene 21
Rtn3	reticulon 3
Gm14372	predicted gene 14372
Lrrc2	leucine rich repeat containing 2
Pbx4	pre B cell leukemia homeobox 4
Gm9376	predicted gene 9376
Gm17153	NA
Nprl3	nitrogen permease regulator-like 3
Gm10961	predicted gene 10961
Gm12625	ubiquitin-60S ribosomal protein L40 pseudogene
Gm12080	predicted gene 12080
Maged1	MAGE family member D1
Mrps22	mitochondrial ribosomal protein S22
C920021L13Rik	RIKEN cDNA C920021L13 gene
Olfr480	NA
Cdkl5	cyclin dependent kinase like 5
Cadps	Ca2+-dependent secretion activator
Gm26028	NA
Gm20413	NA
Mospd2	motile sperm domain containing 2
Btla	B and T lymphocyte associated
Gng10	guanine nucleotide binding protein (G protein), gamma 10
Cdh3	cadherin 3
AU015336	expressed sequence AU015336
Me1	malic enzyme 1, NADP(+)-dependent, cytosolic
Gm25261	predicted gene, 25261
Adora3	adenosine A3 receptor
Gm21868	predicted gene, 21868
Gm13231	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 pseudogene
Copb1	coatomer protein complex, subunit beta 1
D930032P07Rik	RIKEN cDNA D930032P07 gene
